TIER,VETERAN,WINS,REQUEST_REGION,INACTIVE,HOTSTREAK,QUEUE,LOSSES,FRESHBLOOD,SUMMONERNAME,LEAGUEPOINTS
MASTER,FALSE,274,na1,FALSE,TRUE,RANKED_SOLO_5x5,235,FALSE,ACHUKY,129
MASTER,TRUE,329,na1,FALSE,FALSE,RANKED_SOLO_5x5,314,FALSE,XxSkyKushhxX,89
MASTER,FALSE,316,na1,FALSE,TRUE,RANKED_SOLO_5x5,294,FALSE,doyinger,204
MASTER,TRUE,271,na1,FALSE,FALSE,RANKED_SOLO_5x5,266,FALSE,FartCollecter,55
MASTER,FALSE,225,na1,FALSE,FALSE,RANKED_SOLO_5x5,201,FALSE,8-Jul,131
MASTER,FALSE,80,na1,FALSE,FALSE,RANKED_SOLO_5x5,52,TRUE,XxArcadosxX,67
MASTER,FALSE,320,na1,FALSE,TRUE,RANKED_SOLO_5x5,268,TRUE,bbpixi,14
MASTER,FALSE,432,na1,FALSE,FALSE,RANKED_SOLO_5x5,439,TRUE,Paige,0
MASTER,FALSE,920,na1,FALSE,FALSE,RANKED_SOLO_5x5,927,TRUE,TTV SirCaptFair,37
MASTER,FALSE,322,na1,FALSE,FALSE,RANKED_SOLO_5x5,292,TRUE,Enemy Kat,16
MASTER,FALSE,803,na1,FALSE,TRUE,RANKED_SOLO_5x5,795,TRUE,Śpike,19
MASTER,FALSE,486,na1,FALSE,FALSE,RANKED_SOLO_5x5,483,TRUE,Twitch,317
MASTER,FALSE,139,na1,FALSE,TRUE,RANKED_SOLO_5x5,91,TRUE,Kìńg,1
MASTER,FALSE,164,na1,FALSE,FALSE,RANKED_SOLO_5x5,146,FALSE,Hyouká,17
MASTER,FALSE,181,na1,FALSE,FALSE,RANKED_SOLO_5x5,153,FALSE,Sumire is Waifu,64
MASTER,FALSE,299,na1,FALSE,FALSE,RANKED_SOLO_5x5,229,FALSE,DaisyDukes,117
MASTER,FALSE,229,na1,FALSE,FALSE,RANKED_SOLO_5x5,203,TRUE,Onehan1,61
MASTER,FALSE,724,na1,FALSE,FALSE,RANKED_SOLO_5x5,733,FALSE,TrevorKTran,123
MASTER,FALSE,333,na1,FALSE,FALSE,RANKED_SOLO_5x5,304,FALSE,TheBurningTank,69
MASTER,FALSE,256,na1,FALSE,FALSE,RANKED_SOLO_5x5,247,FALSE,BetaTwinz,233
MASTER,FALSE,315,na1,FALSE,FALSE,RANKED_SOLO_5x5,302,TRUE,Cryomaniac,1
MASTER,FALSE,206,na1,FALSE,TRUE,RANKED_SOLO_5x5,164,FALSE,10026969,101
MASTER,FALSE,52,na1,FALSE,FALSE,RANKED_SOLO_5x5,53,FALSE,LoveSona QvQ,61
MASTER,FALSE,230,na1,FALSE,TRUE,RANKED_SOLO_5x5,193,TRUE,Atout,1
MASTER,TRUE,811,na1,FALSE,FALSE,RANKED_SOLO_5x5,800,FALSE,riversided,140
MASTER,FALSE,65,na1,FALSE,FALSE,RANKED_SOLO_5x5,62,TRUE,Zantimon,1
MASTER,TRUE,145,na1,FALSE,FALSE,RANKED_SOLO_5x5,133,FALSE,Garrett Meyerson,125
MASTER,FALSE,119,na1,FALSE,FALSE,RANKED_SOLO_5x5,77,TRUE,Surprise Ebola,110
MASTER,FALSE,102,na1,FALSE,FALSE,RANKED_SOLO_5x5,84,FALSE,NuzziG,23
MASTER,FALSE,369,na1,FALSE,FALSE,RANKED_SOLO_5x5,354,FALSE,Moonlightˉ,80
MASTER,FALSE,211,na1,FALSE,FALSE,RANKED_SOLO_5x5,214,FALSE,idontwannadothis,25
MASTER,FALSE,648,na1,FALSE,FALSE,RANKED_SOLO_5x5,657,TRUE,IronTissue,16
MASTER,FALSE,55,na1,FALSE,TRUE,RANKED_SOLO_5x5,49,FALSE, ndbb,347
MASTER,FALSE,672,na1,FALSE,FALSE,RANKED_SOLO_5x5,606,FALSE,BestChicky,15
MASTER,FALSE,751,na1,FALSE,TRUE,RANKED_SOLO_5x5,748,FALSE,Yasukeh,239
MASTER,TRUE,523,na1,FALSE,FALSE,RANKED_SOLO_5x5,477,FALSE,Pðlar,84
MASTER,FALSE,314,na1,FALSE,FALSE,RANKED_SOLO_5x5,330,FALSE,Jurassiq,25
MASTER,FALSE,570,na1,FALSE,FALSE,RANKED_SOLO_5x5,543,FALSE,missing you,324
MASTER,FALSE,832,na1,FALSE,FALSE,RANKED_SOLO_5x5,811,FALSE,the rock titan,69
MASTER,TRUE,660,na1,FALSE,FALSE,RANKED_SOLO_5x5,624,FALSE,SisterJunky,140
MASTER,FALSE,258,na1,FALSE,FALSE,RANKED_SOLO_5x5,237,FALSE,antownknee,308
MASTER,TRUE,181,na1,FALSE,FALSE,RANKED_SOLO_5x5,177,FALSE,YEASTYFLAPS,120
MASTER,FALSE,105,na1,FALSE,TRUE,RANKED_SOLO_5x5,78,FALSE,Tomoebi,318
MASTER,FALSE,49,na1,FALSE,FALSE,RANKED_SOLO_5x5,29,FALSE,A oreo A,151
